chapter,level,section,title,chars_total,chars_own,listings,figures,tables,equations,layer,note
ch08,subsection,数字孪生水利平台案例,淹没影响、疏散路线与证据链,632,632,0,2,1,0,E,
ch08,subsection,数字孪生水利平台案例,数字孪生水库矩阵与“四预”,1284,1284,0,2,1,0,E,
ch08,subsection,数字孪生水利平台案例,闸门调度正算、反算与方案约束,839,839,0,2,1,0,E,
ch08,subsection,数字孪生水利平台案例,预警方案预演与角色协同,350,350,0,0,1,0,E,
ch08,subsection,数字孪生水利平台案例,AI助手驱动的调度会商,456,456,0,1,1,0,E,
ch08,subsection,数字孪生水利平台案例,底板与算法解耦、权限与模拟标注,449,449,0,1,0,0,E,
ch08,subsection,数字孪生水利平台案例,对象编码、时空基线与孪生状态,760,760,0,1,1,0,E,
ch08,subsection,数字孪生水利平台案例,模型任务编排与运行生命周期,611,611,0,1,0,0,E,
ch08,subsection,数字孪生水利平台案例,数字孪生水网的供需平衡与联合调度,1011,1011,0,2,1,0,E,
ch08,subsection,数字孪生水利平台案例,场景版本、方案比较与不确定性表达,828,828,0,1,1,0,E,
ch08,subsection,数字孪生水利平台案例,端到端实现切片与验收脚本,770,770,1,0,1,0,E,
ch08,subsection,数字孪生水利平台案例,会商时间线、值守交接与复盘,722,722,0,1,1,0,E,
ch08,subsection,数字孪生水利平台案例,失效降级、验收与课程实现,928,928,0,0,2,0,E,
ch08,section,,系统部署、运维与验收,9,9,0,0,0,0,C,
ch08,subsection,系统部署、运维与验收,部署架构与环境一致性,242,242,0,1,0,0,G,
ch08,subsubsection,系统部署、运维与验收,从部署图到可执行编排,349,349,1,0,0,0,C,
ch08,subsubsection,系统部署、运维与验收,环境变量、密钥与版本回滚,197,197,1,0,0,0,C,
ch08,subsubsection,系统部署、运维与验收,Nginx 反向代理与静态资源,167,167,1,0,0,0,C,
ch08,subsubsection,系统部署、运维与验收,健康检查、告警与容量边界,377,377,1,0,0,0,C,
ch08,subsubsection,系统部署、运维与验收,备份、恢复与演练记录,1871,1871,1,0,0,0,C,
ch08,subsection,系统部署、运维与验收,可观测性、备份与恢复,345,345,0,1,0,0,G,
ch08,subsection,系统部署、运维与验收,阶段验收,472,472,0,0,1,0,G,
ch08,section,,小结,408,408,0,0,0,0,-,
ch08,section,,章末交付物,142,142,0,0,0,0,-,
ch08,section,,思考题与练习题,477,477,0,0,0,0,-,
ch09,section,,全书回顾,732,732,0,0,0,0,C,
ch09,section,,技术发展趋势与展望,107,107,0,0,0,0,E,
ch09,subsection,技术发展趋势与展望,政策与建设背景,398,398,0,0,0,0,E,
ch09,subsection,技术发展趋势与展望,教材主线之外的延伸方向,49,49,0,0,0,0,E,
ch09,subsubsection,技术发展趋势与展望,人工智能与知识服务,155,155,0,0,0,0,E,
ch09,subsubsection,技术发展趋势与展望,感知网络与低功耗广域接入,201,201,0,0,0,0,E,
ch09,subsubsection,技术发展趋势与展望,空间数据互操作与开放标准,152,152,0,0,0,0,E,
ch09,subsubsection,技术发展趋势与展望,从开发平台到运行体系,139,139,0,0,0,0,E,
ch09,subsection,技术发展趋势与展望,如何判断一项新技术是否值得投入,416,416,0,0,0,0,E,
ch09,section,,对读者的建议与后续学习指引,62,62,0,0,0,0,C,
ch09,subsection,对读者的建议与后续学习指引,学习与实践策略,360,360,0,0,0,0,C,
ch09,subsection,对读者的建议与后续学习指引,面向前沿技术的持续学习,599,599,0,0,1,0,E,
ch09,subsection,对读者的建议与后续学习指引,行业追踪与信息渠道,401,401,0,0,0,0,E,
ch09,subsection,对读者的建议与后续学习指引,跨学科知识补充,149,149,0,0,0,0,E,
ch09,section,,小结,440,440,0,0,0,0,-,
ch09,section,,思考题与练习题,350,350,0,0,0,0,-,
ch09,section,,章末交付物：课程总结报告,869,869,0,0,0,0,-,
